Temperature,HeartRate,HRV,SleepIndex,Tindex
32.35,60.00,0.00,0,1
32.37,60.00,0.00,0,1
32.20,60.00,0.00,0,1
32.46,60.00,0.00,0,1
32.18,60.00,0.00,0,1
32.07,60.00,0.00,0,1
32.07,60.00,0.00,0,1
32.40,50.00,0.29,0,1
32.21,50.00,0.29,0,1
32.33,50.00,0.28,0,1
32.23,60.00,0.28,0,1
32.45,60.00,0.28,0,1
31.54,60.50,0.28,0,1
31.40,60.00,0.05,0,1
31.57,60.00,0.00,0,1
31.64,60.00,0.00,0,1
31.43,59.50,0.00,1,1
32.37,60.00,0.00,0,1
32.62,60.50,0.00,0,1
32.77,60.00,0.00,0,1
32.02,60.00,0.00,0,1
32.02,60.00,0.00,0,1
32.94,60.00,0.00,0,1
33.31,60.50,0.00,0,1
33.79,60.50,0.00,0,1
34.55,50.00,0.05,1,1
35.28,60.50,0.05,0,1
35.86,60.00,0.05,0,1
36.96,60.00,0.05,0,0
37.28,60.00,0.05,0,0
36.82,60.00,0.00,0,0
38.01,60.50,0.00,0,0
37.85,60.00,0.00,0,0
37.73,60.00,0.00,0,0
37.76,60.00,0.00,0,0
37.63,60.50,0.00,0,0
37.76,59.50,0.00,1,0
37.65,60.00,0.00,0,0
37.55,60.00,0.00,0,0
37.23,61.02,0.00,0,0
37.18,59.50,0.00,1,0
37.25,59.50,0.00,1,0
37.27,59.50,0.00,1,0
37.05,59.50,0.00,1,0
37.09,59.50,0.00,1,0
37.11,59.50,0.00,1,0
37.08,59.50,0.00,1,0
36.95,59.50,0.00,1,0
